Model,Total Power (W),Max Memory (MB)
XGB,233.77666666666667,1306.0
TRANSFORMER,34569.078888888886,1136.0
TCN,14461.620000000003,1020.0
LSTM,7699.277777777778,1134.0
CNN,2877.7255555555553,942.0
